Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
760,60,RL,12257,Pave,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1995,Gable,VinylSd,VinylSd,BrkFace,513.0,Gd,TA,PConc,56,64,1198,1318,Ex,Y,SBrkr,1328,1203,0,2531,0,0,2,1,4,1,Gd,9,Typ,1,3,752,Y,222,98,0,0,0,0,0,11,2007,WD,Normal,290000
858,60,RL,8125,Pave,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,1995,Gable,HdBoard,HdBoard,None,0.0,TA,TA,PConc,0,0,702,702,Gd,Y,SBrkr,702,779,0,1481,0,0,2,1,3,1,TA,6,Typ,1,2,343,Y,0,36,0,0,0,0,0,3,2009,WD,Normal,174000
1244,20,RL,13891,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,,,Ex,TA,PConc,1386,0,690,2076,Ex,Y,SBrkr,2076,0,0,2076,1,0,2,1,2,1,Ex,7,Typ,1,3,850,Y,216,229,0,0,0,0,0,9,2006,New,Partial,465000
674,20,RL,14442,Pave,Reg,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,1957,2004,Hip,CemntBd,CmentBd,BrkFace,106.0,TA,TA,PConc,1186,0,291,1477,Ex,Y,SBrkr,1839,0,0,1839,1,0,2,0,3,1,Gd,7,Typ,2,2,416,Y,0,87,0,0,200,0,0,6,2007,WD,Normal,257500
1269,50,RL,14100,Pave,IR1,Lvl,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,8,9,1935,1997,Gable,Stucco,Stucco,BrkFace,632.0,TA,Gd,CBlock,192,0,536,728,Ex,Y,SBrkr,1968,1479,0,3447,0,0,3,1,4,1,Gd,11,Typ,2,3,1014,Y,314,12,0,0,0,0,0,5,2008,WD,Normal,381000
2,20,RL,9600,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,978,0,284,1262,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,2,460,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
611,60,RL,11050,Pave,Reg,Lvl,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2Story,9,5,2000,2000,Hip,VinylSd,VinylSd,BrkFace,204.0,Gd,TA,PConc,904,0,536,1440,Ex,Y,SBrkr,1476,677,0,2153,1,0,2,1,3,1,Ex,8,Typ,2,3,736,Y,253,142,0,0,0,0,0,5,2009,WD,Normal,313000
142,20,RL,11645,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,1300,0,434,1734,Ex,Y,SBrkr,1734,0,0,1734,1,0,2,0,3,1,Gd,7,Typ,0,2,660,Y,160,24,0,0,0,0,0,1,2006,WD,Normal,260000
865,20,FV,8640,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,1372,1372,Ex,Y,SBrkr,1372,0,0,1372,0,0,2,0,3,1,Gd,6,Typ,0,2,529,Y,0,140,0,0,0,0,0,5,2008,New,Partial,250580
1344,50,RL,7558,Pave,Reg,Bnk,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1928,1950,Gable,BrkFace,Stone,None,0.0,TA,TA,BrkTil,0,0,896,896,Gd,Y,SBrkr,1172,741,0,1913,0,0,1,1,3,1,TA,9,Typ,1,2,342,Y,0,0,0,0,0,0,0,3,2009,WD,Normal,177000
1056,20,RL,11361,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1976,1976,Gable,Plywood,Plywood,BrkFace,160.0,TA,TA,CBlock,644,0,549,1193,TA,Y,SBrkr,1523,0,0,1523,0,1,2,0,3,1,TA,7,Typ,1,2,478,Y,0,0,0,0,189,0,0,5,2008,COD,Abnorml,180000
59,60,RL,13682,Pave,IR2,HLS,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,0,0,1410,1410,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,3,641,Y,192,0,37,0,0,0,0,10,2006,New,Partial,438780
790,60,RL,12205,Pave,IR1,Low,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,2007,Gable,HdBoard,HdBoard,BrkFace,157.0,TA,TA,CBlock,568,0,264,832,Gd,Y,SBrkr,976,1111,0,2087,0,0,2,1,5,1,Gd,9,Typ,0,2,444,Y,133,168,0,0,0,0,0,7,2007,WD,Normal,187500
1045,20,RL,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,1104,0,1420,2524,TA,Y,SBrkr,2524,0,0,2524,1,0,2,1,4,1,Gd,9,Typ,1,2,542,Y,474,120,0,0,0,0,0,7,2009,WD,Normal,278000
765,120,RL,9549,Pave,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,437,1057,0,1494,Ex,Y,SBrkr,1494,0,0,1494,1,0,1,1,2,1,Ex,6,Typ,1,2,481,Y,0,30,0,0,216,0,0,4,2006,WD,Normal,270000
1033,60,RL,14541,Pave,IR1,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1993,1993,Gable,MetalSd,MetalSd,None,0.0,Gd,Gd,PConc,1012,0,326,1338,Ex,Y,SBrkr,1352,1168,0,2520,1,0,2,1,5,1,Gd,10,Typ,1,3,796,Y,209,55,0,0,0,0,0,11,2006,WD,Abnorml,310000
1061,120,RL,4920,Pave,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,616,0,722,1338,Ex,Y,SBrkr,1338,0,0,1338,1,0,2,0,2,1,Gd,6,Typ,0,2,582,Y,0,0,170,0,0,0,0,4,2010,WD,Normal,213500
241,20,FV,9000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,VinylSd,VinylSd,Stone,36.0,Gd,TA,PConc,1078,0,488,1566,Ex,Y,SBrkr,1566,0,0,1566,1,0,2,0,3,1,Gd,7,Typ,0,2,750,Y,144,168,0,0,0,0,0,4,2010,WD,Normal,262500
178,50,RL,13650,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,MetalSd,MetalSd,None,0.0,Gd,Gd,CBlock,57,441,554,1052,Ex,Y,SBrkr,1252,668,0,1920,1,0,2,0,4,1,Gd,8,Typ,1,2,451,Y,0,0,0,0,0,0,0,7,2006,WD,Normal,172500
1356,80,RL,10192,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,6,1968,1992,Gable,MetalSd,MetalSd,BrkFace,143.0,TA,TA,CBlock,0,0,570,570,Gd,Y,SBrkr,1222,698,0,1920,0,0,3,0,4,1,Gd,8,Typ,1,2,487,Y,0,98,0,0,0,0,0,9,2006,WD,Normal,170000
306,20,RL,10386,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,1464,0,536,2000,Ex,Y,SBrkr,2000,0,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,3,888,Y,168,0,0,0,0,0,0,7,2007,WD,Normal,305900
410,60,FV,10800,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,789,0,245,1034,Ex,Y,SBrkr,1050,1028,0,2078,1,0,2,1,3,1,Ex,8,Typ,1,3,836,Y,0,102,0,0,0,0,0,4,2008,New,Partial,339750
613,60,RL,11885,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2001,2001,Gable,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,990,0,309,1299,Ex,Y,SBrkr,1299,573,0,1872,1,0,2,1,3,1,Ex,7,Typ,1,2,531,Y,160,122,0,0,0,0,0,11,2009,WD,Normal,261500
436,60,RL,10667,Pave,IR2,Lvl,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,385,344,70,799,Ex,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,2,550,Y,158,61,0,0,0,0,0,4,2009,ConLw,Normal,212000
1278,80,RL,17871,Pave,IR1,Lvl,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,5,1967,1976,Gable,HdBoard,HdBoard,BrkFace,359.0,TA,TA,CBlock,528,0,1152,1680,Fa,Y,SBrkr,1724,0,0,1724,1,0,1,1,3,1,TA,7,Typ,1,2,480,Y,0,0,0,0,0,0,0,6,2009,WD,Normal,197900
1210,20,RL,10182,Pave,IR1,Lvl,CulDSac,Gtl,Somerst,RRNn,Norm,1Fam,1Story,8,5,2006,2006,Hip,VinylSd,VinylSd,Stone,420.0,Gd,TA,PConc,1220,0,440,1660,Ex,Y,SBrkr,1660,0,0,1660,1,0,2,0,3,1,Gd,8,Typ,1,2,500,Y,322,50,0,0,0,0,0,5,2006,New,Partial,290000
1438,20,RL,12444,Pave,Reg,Lvl,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,2008,Hip,VinylSd,VinylSd,Stone,426.0,Ex,TA,PConc,1336,0,596,1932,Ex,Y,SBrkr,1932,0,0,1932,1,0,2,0,2,1,Ex,7,Typ,1,3,774,Y,0,66,0,304,0,0,0,11,2008,New,Partial,394617
294,60,RL,16659,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,1994,Gable,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,795,0,0,795,Fa,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,2,539,Y,0,250,0,0,0,0,0,3,2006,WD,Normal,235000
833,60,RL,9548,Pave,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,2003,Gable,VinylSd,VinylSd,BrkFace,223.0,Gd,TA,PConc,483,0,458,941,Ex,Y,SBrkr,941,888,0,1829,1,0,2,1,3,1,Gd,7,Typ,1,2,613,Y,192,39,0,0,0,0,0,1,2010,WD,Normal,237000
401,120,RL,14963,Pave,IR2,Lvl,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,786,0,474,1260,Ex,Y,SBrkr,1288,0,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,2,500,Y,120,30,0,0,224,0,0,12,2008,WD,Normal,245500
186,75,RM,22950,Pave,IR2,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,0,0,1107,1107,Ex,Y,SBrkr,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,Typ,2,3,840,Y,0,260,0,0,410,0,0,6,2006,WD,Normal,475000
769,20,RL,9100,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2005,Hip,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,24,0,1836,1860,Ex,Y,SBrkr,1836,0,0,1836,0,0,2,0,3,1,Gd,8,Typ,1,2,484,Y,120,33,0,0,0,0,0,10,2006,WD,Normal,216837
375,60,RL,8200,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,847,847,Ex,Y,SBrkr,847,1081,0,1928,0,0,2,1,4,1,Gd,8,Typ,1,2,434,Y,100,48,0,0,0,0,0,7,2007,WD,Normal,219500
1170,60,RL,35760,Pave,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,10,5,1995,1996,Hip,HdBoard,HdBoard,BrkFace,1378.0,Gd,Gd,PConc,1387,0,543,1930,Ex,Y,SBrkr,1831,1796,0,3627,1,0,3,1,4,1,Gd,10,Typ,1,3,807,Y,361,76,0,0,0,0,0,7,2006,WD,Normal,625000
892,60,RL,11184,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,HdBoard,HdBoard,BrkFace,92.0,TA,TA,CBlock,226,500,192,918,Gd,Y,SBrkr,918,765,0,1683,0,0,2,1,3,1,TA,7,Typ,1,2,440,Y,243,0,0,0,0,0,0,7,2009,WD,Normal,172500
619,20,RL,11694,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,CemntBd,CmentBd,BrkFace,452.0,Ex,TA,PConc,48,0,1774,1822,Ex,Y,SBrkr,1828,0,0,1828,0,0,2,0,3,1,Gd,9,Typ,1,3,774,Y,0,108,0,0,260,0,0,7,2007,New,Partial,314813
415,60,RL,11228,Pave,IR2,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,50,531,499,1080,Ex,Y,SBrkr,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,3,678,Y,196,187,0,0,0,0,0,12,2008,WD,Normal,228000
1159,20,RL,11932,Pave,Reg,Lvl,FR2,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,0,0,1580,1580,Ex,Y,SBrkr,1580,0,0,1580,0,0,2,0,3,1,Gd,7,Typ,0,3,830,Y,0,24,0,0,0,0,0,6,2008,ConLD,Partial,235128
448,60,RL,11214,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,930,930,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,2,431,Y,89,0,0,0,0,0,0,7,2006,WD,Normal,199900
452,20,RL,70761,Pave,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,655,0,878,1533,TA,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,2,576,Y,200,54,0,0,0,0,0,12,2006,WD,Normal,280000
746,60,RL,8963,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,9,1976,1996,Hip,VinylSd,VinylSd,BrkFace,289.0,Ex,Gd,CBlock,575,80,487,1142,Ex,Y,SBrkr,1175,1540,0,2715,0,1,3,1,4,1,Gd,11,Typ,2,2,831,Y,0,204,0,0,0,0,0,7,2008,WD,Normal,299800
33,20,RL,11049,Pave,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,1234,1234,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2,484,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
273,60,RL,11764,Pave,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,524,0,628,1152,Ex,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,1,3,671,Y,132,57,0,0,0,0,0,4,2010,WD,Normal,290000
976,160,FV,2651,Pave,Reg,Lvl,FR2,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2000,2000,Gable,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,641,0,32,673,Ex,Y,SBrkr,673,709,0,1382,1,0,2,1,3,1,Gd,6,Typ,0,2,490,Y,153,50,0,0,0,0,0,4,2006,WD,Normal,165000
1110,20,RL,11362,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,MetalSd,MetalSd,Stone,42.0,Gd,TA,PConc,1039,0,797,1836,Ex,Y,SBrkr,1836,0,0,1836,1,0,2,0,3,1,Gd,7,Typ,1,3,862,Y,125,185,0,0,0,0,0,3,2009,WD,Normal,280000
904,20,RL,14859,Pave,IR1,HLS,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,27.0,Gd,TA,PConc,0,0,1670,1670,Ex,Y,SBrkr,1670,0,0,1670,0,0,2,0,3,1,Gd,7,Typ,1,3,690,Y,144,60,0,0,0,0,0,8,2006,New,Partial,240000
930,60,RL,13006,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,HdBoard,HdBoard,BrkFace,285.0,TA,TA,PConc,0,0,964,964,Gd,Y,SBrkr,993,1243,0,2236,0,0,2,1,4,1,Gd,8,Typ,1,2,642,Y,0,0,0,0,0,0,0,11,2006,WD,Normal,222000
1231,90,RL,18890,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Feedr,RRAe,Duplex,1.5Fin,5,5,1977,1977,Shed,Plywood,Plywood,None,1.0,TA,TA,CBlock,498,211,652,1361,Ex,Y,SBrkr,1361,1259,0,2620,0,0,2,2,4,2,TA,12,Typ,1,2,600,N,155,24,145,0,0,0,8300,8,2007,WD,Normal,190000
125,20,RL,17043,Pave,IR1,Lvl,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,0,0,1362,1362,TA,Y,SBrkr,1586,0,0,1586,0,0,2,0,3,1,TA,7,Typ,1,2,435,Y,192,0,0,0,0,0,0,1,2009,WD,Normal,181000
1148,70,RL,12000,Pave,Reg,Bnk,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,7,1941,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,275,0,429,704,Ex,Y,SBrkr,860,704,0,1564,0,0,1,1,3,1,Fa,7,Typ,1,1,234,Y,0,0,0,0,0,0,0,7,2009,WD,Normal,174500
1185,20,RL,35133,Grvl,Reg,Lvl,Inside,Mod,Timber,Norm,Norm,1Fam,1Story,5,4,1963,1963,Hip,MetalSd,MetalSd,BrkFace,226.0,TA,TA,CBlock,1159,0,413,1572,Gd,Y,SBrkr,1572,0,0,1572,1,0,1,1,3,1,TA,5,Typ,2,3,995,Y,0,263,0,0,263,0,0,5,2007,WD,Normal,186700
160,60,RL,19378,Pave,IR1,HLS,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,456.0,Gd,TA,PConc,57,0,1335,1392,Ex,Y,SBrkr,1392,1070,0,2462,1,0,2,1,4,1,Gd,9,Typ,1,2,576,Y,239,132,0,168,0,0,0,3,2006,New,Partial,320000
1301,60,RL,10762,Pave,IR1,Lvl,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,VinylSd,None,344.0,Gd,TA,PConc,694,0,284,978,Ex,Y,SBrkr,1005,978,0,1983,0,0,2,1,3,1,Gd,9,Typ,1,2,490,Y,0,0,0,0,0,0,0,5,2009,WD,Normal,225000
1314,60,RL,14774,Pave,IR1,Lvl,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,165.0,Gd,TA,PConc,0,0,1393,1393,Ex,Y,SBrkr,1422,1177,0,2599,0,0,2,1,4,1,Gd,10,Typ,1,3,779,Y,668,30,0,0,0,0,0,5,2010,WD,Normal,333168
1354,50,RL,14720,Pave,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,1995,1996,Hip,VinylSd,VinylSd,BrkFace,579.0,Gd,TA,PConc,816,0,1217,2033,Ex,Y,SBrkr,2053,1185,0,3238,1,0,2,1,4,1,Gd,9,Typ,1,3,666,Y,283,86,0,0,0,0,0,3,2010,WD,Normal,410000
190,120,RL,4923,Pave,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,1153,0,440,1593,Ex,Y,SBrkr,1593,0,0,1593,1,0,1,1,0,1,Ex,5,Typ,1,2,682,Y,0,120,0,0,224,0,0,8,2008,WD,Normal,286000
937,20,RL,10083,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,,,Gd,TA,PConc,833,0,343,1176,Ex,Y,SBrkr,1200,0,0,1200,1,0,2,0,2,1,Gd,5,Typ,0,2,555,Y,0,41,0,0,0,0,0,8,2009,WD,Normal,184900
1176,50,RL,10678,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,8,5,1992,2000,Hip,HdBoard,HdBoard,BrkFace,337.0,Gd,TA,PConc,700,0,983,1683,Ex,Y,SBrkr,2129,743,0,2872,0,0,2,1,4,1,Gd,9,Typ,1,2,541,Y,0,33,0,0,0,0,0,4,2007,WD,Normal,285000
1251,20,RL,11160,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,1065,0,1045,2110,Ex,Y,SBrkr,2110,0,0,2110,1,0,2,1,3,1,Ex,8,Typ,2,2,522,Y,0,0,0,0,0,0,0,4,2010,WD,Normal,244000
261,80,RL,19296,Pave,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,TA,CBlock,672,690,0,1362,TA,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,TA,6,Typ,1,2,884,Y,0,0,252,0,0,0,0,5,2009,WD,Normal,176000
759,160,FV,2280,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Gable,MetalSd,MetalSd,BrkFace,360.0,TA,TA,PConc,549,0,195,744,Gd,Y,SBrkr,757,744,0,1501,0,0,2,1,3,1,TA,6,Typ,0,2,440,Y,0,0,0,0,0,0,0,8,2008,WD,Normal,179400
